語言偵測: zh (機率: 1.00)
[2776.81s -> 2777.97s] 所以我就會特別丁寧
[2777.97s -> 2779.17s] 他這兩點
[2779.17s -> 2780.71s] 可是他就會非常的
[2780.71s -> 2782.23s] 就是會心情不好
[2782.23s -> 2782.99s] 因為他說
[2782.99s -> 2785.55s] 為什麼他最喜歡吃的東西都不能吃
[2785.55s -> 2786.85s] 那後來我其實就可以提供
[2786.85s -> 2788.79s] 導演上我自己讀過
[2788.79s -> 2789.29s] 減肥
[2789.29s -> 2792.01s] 就是不能吃這個
[2792.01s -> 2793.77s] 所以我就能特別會體會
[2793.77s -> 2795.69s] 到說我媽媽的心情
[2795.69s -> 2797.91s] 那其實後來會結束到
[2797.91s -> 2798.53s] 双荷林子
[2798.53s -> 2800.07s] 就是在這邊要非常感謝
[2800.07s -> 2801.57s] 就是我的男朋友
[2801.57s -> 2802.95s] 就是流氧天生生
[2802.95s -> 2804.59s] 然後還有他的家人們
[2804.59s -> 2806.21s] 就是讓我有這個機會
[2806.21s -> 2807.77s] 就是認識双荷
[2807.77s -> 2809.11s] 那也因為我男朋友
[2809.11s -> 2810.65s] 他皮膚過敏
[2810.65s -> 2812.41s] 還有百般的狀況
[2812.41s -> 2814.17s] 他服用双荷林子
[2814.17s -> 2815.77s] 改善得非常的好
[2815.77s -> 2818.19s] 那在這個同時我們就一起來到
[2818.19s -> 2819.31s] 就是像大家一樣
[2819.31s -> 2820.43s] 就是在這個會場
[2820.43s -> 2822.59s] 就是一起來了解双荷說
[2822.59s -> 2825.09s] 為什麼他有這麼好的一個效果
[2825.09s -> 2827.71s] 就是可以改善我男朋友皮膚的
[2827.71s -> 2829.57s] 過敏還有百般的狀況
[2829.57s -> 2832.69s] 那同時就是在聽很多
[2832.69s -> 2834.23s] 教授啊
[2834.23s -> 2835.77s] 還有營養師的一些
[2836.59s -> 2838.27s] 一些遠舊報告
[2838.27s -> 2839.47s] 那也知道說
[2839.47s -> 2841.57s] 双荷他對於糖尿病
[2841.57s -> 2842.87s] 是很有幫助
[2842.87s -> 2844.65s] 然後還有聽到非常多
[2844.65s -> 2846.73s] 愛心朋友的一個見證
[2846.73s -> 2847.69s] 就是對於糖尿病
[2847.69s -> 2849.29s] 都改善得非常好
[2849.29s -> 2850.57s] 那這時候其實我心中
[2850.57s -> 2852.27s] 就是非常的震撼
[2853.15s -> 2854.45s] 因為我就是
[2854.45s -> 2855.27s] 因為我就是
[2855.27s -> 2857.17s] 因為以前都覺得說
[2857.17s -> 2858.45s] 就是只能
[2858.45s -> 2859.59s] 生病就是只能吃
[2859.59s -> 2860.61s] 要看醫生
[2860.61s -> 2861.79s] 所以這時候我就知道
[2861.79s -> 2863.07s] 有一個健康食品
[2863.07s -> 2863.95s] 原來這麼厲害
[2863.95s -> 2865.95s] 還可以幫助到糖尿病
[2865.95s -> 2866.97s] 那這時候我就趕快
[2866.97s -> 2868.37s] 回去跟我們媽媽分享
[2868.37s -> 2869.53s] 然後也開始推薦
[2869.53s -> 2870.83s] 我們媽媽服用
[2870.83s -> 2872.27s] 那他就是早晚
[2872.27s -> 2874.25s] 就是各一包的雞品靈質
[2874.25s -> 2876.27s] 然後搭配等量的花粉
[2876.27s -> 2880.03s] 他是從去年大概10月多的時候開始吃
[2880.03s -> 2882.91s] 然後這樣持續吃到大概12月中
[2882.91s -> 2884.01s] 他就是那時候剛好
[2884.01s -> 2885.59s] 要回醫院去檢查
[2885.59s -> 2886.95s] 然後他就檢查出說
[2886.95s -> 2888.39s] 原來他的飯前寫糖
[2888.39s -> 2890.59s] 已經這樣到154了
[2890.59s -> 2892.25s] 所以就是改善的效果非常好
[2892.81s -> 2894.13s] 然後在可是在這個時候
[2894.13s -> 2895.61s] 他就是有發現到說
[2895.61s -> 2898.23s] 他的症狀是第三期
[2898.23s -> 2899.17s] 就是症狀
[2899.17s -> 2899.95s] 就是他的一個
[2899.95s -> 2901.45s] 甚至求過率率
[2901.45s -> 2902.99s] 是36.6%
[2902.99s -> 2906.03s] 就是表示是說他的症狀的功能
[2906.03s -> 2908.97s] 是症狀人的36.6%這樣子
[2908.97s -> 2910.15s] 那在這個之前
[2910.15s -> 2912.47s] 我不知道他的症狀的數據是怎麼樣
[2912.47s -> 2913.05s] 對
[2913.05s -> 2915.61s] 可是就是第三期其實是算
[2915.61s -> 2916.43s] 因為我知道說
[2916.43s -> 2918.01s] 一直要沒有洗症
[2918.01s -> 2920.19s] 那吃靈質都會對於症狀
[2920.19s -> 2921.67s] 也非常的有幫助
[2921.67s -> 2922.47s] 然後在這時候
[2922.47s -> 2923.71s] 我就鼓勵媽媽說
[2923.71s -> 2924.89s] 再多吃一點
[2924.89s -> 2926.71s] 那我們媽媽他就是改成說
[2926.71s -> 2928.93s] 一天就是三包的靈質
[2928.93s -> 2930.61s] 這樣早中晚這樣吃
[2930.61s -> 2932.21s] 然後一樣搭配花粉
[2932.21s -> 2934.21s] 然後他就是這樣吃吃
[2934.79s -> 2936.65s] 後來就是每多久
[2936.65s -> 2939.51s] 他就是有出現那個命迅反應
[2939.51s -> 2940.33s] 就是有一次
[2940.33s -> 2942.03s] 就是我們在外面碰面
[2942.03s -> 2943.39s] 然後害結束之後
[2943.39s -> 2944.63s] 就是各自去忙
[2944.63s -> 2945.73s] 然後他就回家
[2945.73s -> 2946.55s] 然後後來每多久
[2946.55s -> 2947.89s] 就加他的電話
[2947.89s -> 2949.31s] 他就打電話跟我說
[2949.31s -> 2951.03s] 他就是回家路上
[2951.03s -> 2953.13s] 就是腳好像有點抽筋
[2953.13s -> 2954.13s] 然後到家裡的時候
[2954.13s -> 2955.79s] 發現那個金好像會這樣跳
[2955.79s -> 2957.05s] 跳動跳動
[2957.05s -> 2958.15s] 他覺得很不舒服
[2958.15s -> 2959.81s] 他就趕快打電話給我
[2959.81s -> 2961.87s] 就是叫我拿蓋片給他吃
[2961.87s -> 2963.03s] 因為他知道就是
[2963.03s -> 2965.25s] 可能是缺蓋才會抽筋這樣
[2965.25s -> 2966.25s] 那就是我拿
[2966.25s -> 2968.25s] 我就趕快送蓋片回去給他
[2968.25s -> 2969.95s] 然後那個當晚的時候
[2969.95s -> 2972.11s] 他其實吃蓋片就有舒緩很多
[2972.11s -> 2973.51s] 可是後來到了早上
[2973.51s -> 2974.31s] 他就發現說
[2974.31s -> 2975.27s] 他的下班身
[2975.27s -> 2976.63s] 非常的酸桶
[2976.63s -> 2978.27s] 然後不太能夠走路
[2978.27s -> 2980.13s] 就是變得很嚴重這樣
[2980.13s -> 2980.85s] 那我知道說
[2980.85s -> 2982.01s] 這是明迅反應
[2982.01s -> 2983.39s] 然後我就給我媽媽
[2983.39s -> 2984.87s] 跟我媽媽就是讓他信心
[2985.57s -> 2986.71s] 就是讓他有信心
[2986.71s -> 2989.47s] 知道說這個是靈質在排毒的過程
[2989.47s -> 2990.73s] 那我就是一直也鼓勵
[2990.73s -> 2993.35s] 他說我們要趕快來讓這個明迅反應
[2993.35s -> 2994.31s] 趕快過去
[2994.31s -> 2995.69s] 然後我就是鼓勵到
[2995.69s -> 2998.05s] 他吃四到五包的靈質
[2998.05s -> 2999.35s] 然後搭配花粉
[2999.35s -> 3000.55s] 他就這樣吃吃
[3000.55s -> 3001.15s] 然後吃去
[3001.15s -> 3002.93s] 大概明迅反應吃去的
[3002.93s -> 3004.51s] 大概三個禮拜
[3004.51s -> 3005.73s] 快到一個月的時間
[3006.31s -> 3006.69s] 這樣
[3006.69s -> 3008.25s] 然後後來就是前幾天
[3008.25s -> 3009.75s] 我打電話給他的時候
[3009.75s -> 3010.93s] 他其實已經
[3010.93s -> 3012.97s] 他就很高興的跟我說
[3012.97s -> 3014.21s] 他的飯前寫糖
[3014.21s -> 3015.73s] 是降到一一九
[3016.27s -> 3016.63s] 對
[3016.63s -> 3018.07s] 就是糖尿病患正常子
[3018.07s -> 3019.27s] 應該要在一二六
[3019.27s -> 3020.71s] 可是他已經降到一一九
[3020.71s -> 3022.89s] 所以他改善非常地好
[3022.89s -> 3024.39s] 然後還有他明迅反應的
[3024.39s -> 3025.81s] 就是已經沒有了
[3025.81s -> 3027.37s] 他只是歐還會算痛
[3027.37s -> 3029.79s] 不過他現在還是持續吃到四包
[3029.79s -> 3031.15s] 然後還有搭配很多
[3031.15s -> 3032.77s] 就是像靈質改片
[3032.77s -> 3033.77s] 然後蛋白樹
[3033.77s -> 3034.75s] 挖咖啡
[3034.75s -> 3035.83s] 然後乳酸菌
[3035.83s -> 3037.59s] 他都我在吃這樣子
[3037.59s -> 3040.31s] 那所以我真的覺得很高興
[3040.31s -> 3041.05s] 就是
[3041.05s -> 3043.97s] 雙核公司推出這麼好的靈質產品
[3043.97s -> 3044.69s] 然後還有謝謝
[3044.69s -> 3046.61s] 就是介紹我吃雙二
[3046.61s -> 3048.95s] 介紹我們家人是雙核靈質的
[3048.95s -> 3050.91s] 雙核先生還有他的家人們
[3050.91s -> 3053.19s] 那我今天分享到這邊去吃雙核
[3060.19s -> 3060.65s] 我想
[3062.07s -> 3064.53s] 靈質真的可以幫助到自己的家人
[3064.53s -> 3066.17s] 不管是夫妻
[3066.17s -> 3068.29s] 或者是幫助到自己的長輩
[3068.29s -> 3070.27s] 那認識靈質真的可以
[3070.27s -> 3072.05s] 救助到我們身邊很多的朋友
[3072.05s -> 3074.33s] 可以讓他們脫離這個痛苦
[3074.33s -> 3075.41s] 現象
[3075.41s -> 3077.39s] 其實靈質他這麼好
[3077.39s -> 3079.35s] 那這個事業的基礎點
[3079.35s -> 3081.17s] 就是他產品真的有效
[3081.17s -> 3083.03s] 可是有沒有人在這個事業成功
[3083.03s -> 3085.11s] 我想有非常很多
[3085.11s -> 3088.73s] 今天為大家邀請到也會非常非常難得
[3088.73s -> 3089.83s] 能夠來到台中
[3089.83s -> 3091.05s] 為我們分享
[3091.05s -> 3092.85s] 他經營事業的過程
[3092.85s -> 3093.87s] 他在經營雙核事業
[3093.87s -> 3095.39s] 也很非常非常地
[3095.95s -> 3096.53s] 優秀
[3096.53s -> 3098.25s] 可是他最特別的優秀
[3098.25s -> 3099.71s] 一件事情我想跟各位分享
[3100.39s -> 3102.05s] 他是一個家庭主覆
[3102.05s -> 3103.73s] 在忙忙雙核事業
[3104.39s -> 3105.09s] 還要回去
[3105.09s -> 3107.13s] 趕著腐致老公
[3107.13s -> 3108.21s] 腐致小孩
[3108.21s -> 3110.49s] 這樣的一個女士
[3110.49s -> 3112.45s] 他已有辦法自己一個人
[3112.45s -> 3113.91s] 去平他賺死
[3113.91s -> 3116.51s] 在雙核拿下這個榮耀的頭鮮
[3116.51s -> 3117.03s] 一開始
[3117.03s -> 3118.21s] 他是因為自己在民國
[3118.21s -> 3119.15s] 68年的時候
[3119.15s -> 3120.77s] 身體亮起紅燈
[3120.77s -> 3121.91s] 自己身體狀況
[3121.91s -> 3123.43s] 開始覺得呼吸不順
[3123.43s -> 3124.97s] 越來越糟糕
[3124.97s -> 3127.19s] 去醫院找大醫院
[3127.19s -> 3128.71s] 然後找中醫人數
[3128.71s -> 3130.23s] 全部都宴不出來為什麼
[3130.23s -> 3131.71s] 到民國81年
[3131.71s -> 3132.87s] 他的老闆跟他講說
[3132.87s -> 3134.49s] 靈質也許對他有幫助
[3134.49s -> 3135.39s] 他就開始吃靈質
[3135.39s -> 3137.13s] 想不到吃靈質改善之後
[3137.13s -> 3138.63s] 他開始家庭去分享
[3138.63s -> 3139.51s] 他想說
[3140.29s -> 3141.77s] 想和素養肥
[3141.77s -> 3143.53s] 溫機中雜貨狼可以走
[3143.53s -> 3145.01s] 所以他就沒有家庭
[3145.01s -> 3147.07s] 沒有完全沒有這個念頭
[3147.07s -> 3148.49s] 就對
[3148.49s -> 3149.77s] 就可能看到左邊
[3149.77s -> 3150.77s] 能開始分享
[3150.77s -> 3152.09s] 結果這樣簡單的分享
[3152.09s -> 3154.29s] 分享到1997年
[3154.29s -> 3156.45s] 他去參加雙核第一次海旅
[3156.45s -> 3157.57s] 後來回來以後
[3157.57s -> 3159.57s] 他就停擺了
[3159.57s -> 3161.35s] 到2000年的時候
[3162.47s -> 3164.59s] 他的朋友到處他說
[3164.59s -> 3166.65s] 其實雙核是可以經營的
[3166.65s -> 3169.13s] 鼓勵他繼續海旅圍目標
[3169.13s -> 3169.99s] 後來他看完以後
[3169.99s -> 3171.87s] 發現雙核其實幫助到
[3171.87s -> 3172.73s] 他自己身體健康是
[3172.73s -> 3174.77s] 以前非常非常確定的事情
[3175.35s -> 3177.41s] 如果這個制度是完成的
[3177.41s -> 3180.11s] 又這麼多人在同一觀靈質的狀況下
[3180.11s -> 3181.35s] 成功了
[3181.35s -> 3182.33s] 為什麼他自己不行
[3182.33s -> 3184.19s] 所以當初他的推薦人
[3184.19s -> 3185.01s] 他的分享者
[3185.01s -> 3186.29s] 分享給他這個事業的
[3186.29s -> 3188.05s] 只是希望他能夠繼續海旅
[3188.05s -> 3189.61s] 結果他想想不對
[3189.61s -> 3191.31s] 一樣是要做雙核為什麼
[3191.31s -> 3192.47s] 不要平常鑽石
[3192.47s -> 3193.49s] 短短兩年的時間
[3193.49s -> 3194.99s] 就從上去
[3194.99s -> 3197.07s] 在2011年的時候
[3197.07s -> 3199.29s] 他打到鑽石的目標
[3199.29s -> 3201.37s] 今天我們就讓他
[3201.37s -> 3202.69s] 輕身現身說法
[3202.69s -> 3204.35s] 他是怎麼樣奮鬥的
[3204.35s -> 3205.55s] 這樣的一個過程
[3205.55s -> 3206.73s] 讓我們用
[3206.73s -> 3207.87s] 最熱烈的掌聲來
[3207.87s -> 3209.13s] 歡迎來自北部的
[3209.13s -> 3210.31s] 秋語成秋鑽石
[3220.77s -> 3223.67s] 謝謝帥哥的介紹
[3223.67s -> 3224.61s] 台中朋友
[3224.61s -> 3225.61s] 大家晚安
[3227.03s -> 3228.35s] 我是秋語真
[3228.35s -> 3231.51s] 來替中立評審這邊
[3231.51s -> 3233.87s] 真的台中非常的熱情
[3233.87s -> 3236.33s] 我要把這份熱情
[3236.33s -> 3237.83s] 拜回中立
[3237.83s -> 3239.85s] 我要跟爭利人分享
[3239.85s -> 3241.61s] 台中真的很好
[3246.23s -> 3247.71s] 今天很高興
[3247.71s -> 3251.01s] 能夠來到台中跟各位分享
[3251.71s -> 3254.71s] 我在雙核裡面的心路歷程
[3259.21s -> 3262.47s] 因為我會跌出到雙核林之
[3262.47s -> 3266.09s] 真的是像主持人帥哥講的
[3266.09s -> 3269.71s] 68年剛好健康亮齊紅燈
[3269.71s -> 3271.55s] 真的四處求一
[3271.55s -> 3273.59s] 求過人家說
[3273.59s -> 3275.71s] 中西伊多求過來了
[3275.71s -> 3277.27s] 連神也都問
[3277.27s -> 3280.45s] 以前人家說吃那個香虧
[3280.45s -> 3282.71s] 我婆婆也弄給我吃
[3283.23s -> 3284.71s] 我也傻傻的
[3284.71s -> 3286.49s] 也跟他吞下去
[3286.49s -> 3288.75s] 結果也是十好十壞
[3288.75s -> 3290.73s] 都沒有好
[3290.73s -> 3292.79s] 就在一直在
[3292.79s -> 3294.45s] 持續的看整的時候
[3294.45s -> 3297.21s] 在81年我的老闆
[3297.21s -> 3298.97s] 他來到我家
[3298.97s -> 3300.79s] 因為他也是
[3301.55s -> 3304.63s] 當時是一個高中老師
[3304.63s -> 3306.65s] 中老師介紹他
[3306.65s -> 3309.73s] 因為反正是跟他工作的夥伴
[3309.73s -> 3310.93s] 全部就
[3310.93s -> 3313.09s] 他每一個每一個家庭主覆
[3313.09s -> 3314.31s] 他都去找
[3314.31s -> 3316.37s] 那我當時不利外
[3316.37s -> 3318.07s] 我就被他找到
[3318.07s -> 3318.97s] 他就說
[3318.97s -> 3320.97s] 他看你跟我工作
[3320.97s -> 3323.63s] 每年都是這樣看你病淹淹的
[3324.15s -> 3326.45s] 林之可能對你有效
[3326.45s -> 3327.35s] 我就說
[3327.35s -> 3328.11s] 那好
[3328.63s -> 3330.85s] 當時不過我也會再怕
[3330.85s -> 3332.89s] 當時我真的很傳統
[3332.89s -> 3335.11s] 很頻繁的家庭主覆
[3335.11s -> 3335.89s] 我想說
[3336.55s -> 3338.81s] 這個可以吞嗎
[3338.81s -> 3340.39s] 因為我需要吃下去
[3340.39s -> 3341.91s] 當時真的會過敏
[3341.91s -> 3344.15s] 我再打兩次
[3344.15s -> 3345.59s] 馬上送底忍
[3345.59s -> 3346.69s] 都養氣
[3346.69s -> 3348.15s] 因為我吃東西
[3348.15s -> 3349.89s] 我真的是很小心
[3350.63s -> 3352.87s] 當時我就跟我老闆講
[3352.87s -> 3354.83s] 你要叫我吞可以
[3354.83s -> 3355.83s] 吞下去
[3355.83s -> 3358.03s] 你兩夫妻還不要走
[3358.03s -> 3359.37s] 萬一怎麼樣
[3359.37s -> 3361.71s] 你要把我送一起冠長
[3362.37s -> 3364.47s] 沒有我的小孩子還小
[3364.47s -> 3365.87s] 真的是不行
[3365.87s -> 3367.81s] 他當時叫我吃的時候
[3367.81s -> 3368.79s] 就是說
[3368.79s -> 3369.93s] 一顆零姿
[3369.93s -> 3371.81s] 配兩顆花粉
[3371.81s -> 3372.79s] 就這樣當時
[3372.79s -> 3375.27s] 那兩位見證者想著
[3375.27s -> 3376.65s] 零姿真的很好
[3376.65s -> 3377.67s] 吃下去的時候
[3377.67s -> 3379.71s] 當時我真的不知道說
[3379.71s -> 3381.33s] 這個零姿是很好
[3381.33s -> 3383.11s] 吞下去一大把
[3383.11s -> 3384.55s] 我說會不會吃死掉
[3384.55s -> 3386.21s] 他說不會
[3386.81s -> 3388.01s] 我老婆
[3388.01s -> 3389.17s] 我媽媽
[3389.17s -> 3391.31s] 我女兒都是這樣子在吃
[3391.31s -> 3393.81s] 當時我就想說好吧
[3393.81s -> 3395.27s] 死馬當活馬醫
[3395.27s -> 3398.19s] 我也是找過十幾年的
[3398.19s -> 3400.79s] 醫生真的也是一步好我
[3400.79s -> 3402.41s] 我就把它吞下去
[3402.41s -> 3405.23s] 吞下去在聊天的時候
[3405.23s -> 3406.53s] 真的沒有怎麼樣
[3407.31s -> 3408.01s] 我就跟他講
[3408.01s -> 3408.85s] 你可以回家
[3408.85s -> 3410.63s] 我不會怎麼樣
[3411.31s -> 3414.65s] 就是這樣子持續一直吃
[3414.65s -> 3417.19s] 不過他沒有跟我講
[3417.19s -> 3419.11s] 雙而是一個事業
[3419.11s -> 3420.69s] 他只是叫我吃
[3420.69s -> 3423.05s] 他只是看我說你那麼頻繁
[3423.05s -> 3424.65s] 連車子都不會開
[3424.65s -> 3426.09s] 車子也不會起
[3426.69s -> 3427.49s] 交我做
[3427.49s -> 3429.81s] 好像也不是當忙
[3429.81s -> 3432.75s] 他就說給你健康就好
[3432.75s -> 3435.05s] 完全沒有叫我說
[3435.05s -> 3436.83s] 雙而是一個事業
[3436.83s -> 3438.01s] 我吃半年
[3438.01s -> 3440.69s] 吃一直改善改善的很好
[3441.71s -> 3443.69s] 我每場說零姿真的很貴
[3444.31s -> 3446.45s] 當時的想法是這樣子
[3446.45s -> 3448.51s] 我老公一個上班族
[3448.51s -> 3450.87s] 雖然他在中華汽車上班
[3450.87s -> 3452.71s] 一個月四五萬塊
[3452.71s -> 3454.51s] 如果當時有小孩要一樣
[3455.25s -> 3458.01s] 真的四五萬塊也沒有說很好用
[3458.01s -> 3460.33s] 還有那個零姿又很貴
[3460.33s -> 3461.99s] 然後怎麼吃得起
[3461.99s -> 3464.83s] 吃半年過後我就不吃
[3464.83s -> 3467.21s] 因為他每場打電話
[3467.85s -> 3469.51s] 就是要叫我買零姿
[3470.15s -> 3471.85s] 我就跟我女兒講
[3471.85s -> 3473.69s] 也要等老闆打電話來
[3474.61s -> 3475.49s] 不要接
[3475.49s -> 3477.63s] 他說媽媽這很不禮
[3477.63s -> 3479.37s] 我說沒有什麼不禮
[3479.37s -> 3480.89s] 那個老闆來
[3480.89s -> 3482.67s] 就是叫媽媽買零姿
[3482.67s -> 3483.57s] 我不要
[3484.11s -> 3485.11s] 就是這樣子
[3485.11s -> 3488.35s] 不過我那個老闆真的很聰明
[3488.35s -> 3490.95s] 他知道我不接電話
[3490.95s -> 3491.49s] 親身
[3492.19s -> 3493.61s] 到我家來
[3493.61s -> 3495.35s] 我們就跑不掉了
[3495.35s -> 3497.49s] 他就說你為什麼不接電話
[3497.49s -> 3498.79s] 我說他零姿很貴
[3498.79s -> 3500.59s] 我老公上班
[3500.59s -> 3501.97s] 要買你的零姿
[3501.97s -> 3503.45s] 我說我已經好了
[3503.45s -> 3504.21s] 他不多
[3504.21s -> 3506.05s] 七八十二啦
[3506.05s -> 3507.29s] 也可以不吃
[3508.17s -> 3509.65s] 結果這樣子想
[3509.65s -> 3510.97s] 他就這樣不行
[3510.97s -> 3513.63s] 本來有業機的
[3513.63s -> 3515.21s] 你是說不吃
[3515.21s -> 3516.45s] 你就沒業機
[3516.45s -> 3519.85s] 他又不好意思叫我出來做
[3519.85s -> 3521.31s] 也他就說一直說
[3521.31s -> 3522.71s] 我不會開車
[3522.71s -> 3523.85s] 不會騎車
[3523.85s -> 3525.65s] 要他在他就很煩
[3525.65s -> 3526.97s] 他煩我共煩
[3526.97s -> 3530.21s] 你每天打電話叫我吃零姿
[3530.21s -> 3531.57s] 我就是這樣子
[3532.11s -> 3532.93s] 我吃零姿
[3532.93s -> 3535.67s] 我一個朋友就來介紹我一個日本的
[3535.67s -> 3537.25s] 女婦路調整那一
[3537.25s -> 3539.97s] 他當時把我帶替台北上課
[3539.97s -> 3541.75s] 還花兩千塊
[3541.75s -> 3543.99s] 那我晚上來你們有沒有交錢
[3543.99s -> 3544.37s] 沒有
[3545.45s -> 3545.93s] 對
[3545.93s -> 3547.55s] 我就有吃給他騙替
[3547.55s -> 3549.71s] 早上八點上課到
[3549.71s -> 3551.69s] 我幫完五點
[3551.69s -> 3552.79s] 我還秘密乎乎
[3552.79s -> 3554.81s] 我還不知道那一傳什麼意思
[3554.81s -> 3555.63s] 我還不知道
[3555.63s -> 3557.27s] 真的我還不知道
[3557.27s -> 3559.65s] 我那個朋友心很熊
[3559.65s -> 3562.65s] 他給我買十八萬的火
[3562.65s -> 3563.89s] 他叫我拿回去
[3563.89s -> 3565.79s] 我殺殺的
[3565.79s -> 3567.11s] 回來我錢就給他
[3567.65s -> 3568.47s] 我就想說
[3568.47s -> 3569.19s] 這怎麼辦
[3569.19s -> 3571.05s] 二十八萬我要賣給誰
[3571.75s -> 3575.05s] 我就想我跟我老闆買零姿
[3575.05s -> 3577.65s] 我來叫他老婆給我買零姿
[3578.81s -> 3581.77s] 我就這樣子打電話
[3581.77s -> 3583.51s] 老闆老闆
[3583.51s -> 3585.39s] 你過來有空嗎
[3585.39s -> 3587.83s] 他說要做什麼事
[3587.83s -> 3588.25s] 我說
[3588.25s -> 3589.73s] 沒有我去你家
[3589.73s -> 3591.09s] 我帶個被增加
[3591.09s -> 3592.57s] 我老闆很聰明
[3592.57s -> 3594.85s] 他知道一定是傳銷
[3594.85s -> 3595.81s] 他說不用
[3595.81s -> 3599.11s] 我帶我老婆去你家
[3599.11s -> 3600.35s] 就這樣子把
[3600.35s -> 3602.03s] 他老婆帶到我家來
[3602.03s -> 3605.05s] 我就把那兩包很大包拿出來
[3605.05s -> 3606.87s] 他看到傻眼
[3606.87s -> 3608.91s] 他不知道那是什麼東西
[3608.91s -> 3610.05s] 他就那是什麼
[3610.05s -> 3611.81s] 我說挑准那一一
[3611.81s -> 3613.47s] 我說給你老婆穿漂亮
[3614.35s -> 3616.45s] 他就一直看
[3616.45s -> 3618.11s] 要買也不是
[3618.11s -> 3620.09s] 不買也不是
[3620.09s -> 3622.15s] 因為我有跟他買零姿
[3622.15s -> 3624.23s] 我這樣子介紹他
[3624.23s -> 3625.77s] 他幫他一很看我買
[3626.45s -> 3627.67s] 不過他也不好意思
[3627.67s -> 3629.17s] 他就說
[3629.17s -> 3630.31s] 他怎麼買
[3630.31s -> 3631.41s] 我就跟他講
[3631.41s -> 3632.69s] 我老婆真的很空
[3633.59s -> 3635.27s] 我跟他買
[3635.27s -> 3637.95s] 那個雙把當時是兩千多
[3637.95s -> 3639.55s] 他給我買兩千
[3639.55s -> 3641.87s] 那一夜才兩千多
[3641.87s -> 3642.75s] 我自己在想
[3642.75s -> 3644.29s] 這個老闆怎麼那麼空
[3644.29s -> 3647.99s] 我跟他買好幾萬的那個零姿
[3647.99s -> 3650.47s] 他給我買到兩千多塊
[3650.47s -> 3652.65s] 我自己講這個老闆真的很空
[3653.29s -> 3654.07s] 不要啦
[3654.07s -> 3655.79s] 後來他就問我
[3655.79s -> 3658.11s] 你在兩包多少錢
[3658.11s -> 3659.37s] 我跟他講
[3659.37s -> 3660.25s] 我會很高興
[3660.25s -> 3661.75s] 我想說他問我多少錢
[3661.75s -> 3663.87s] 他可能會跟我買多一點
[3663.87s -> 3665.19s] 我就跟他講
[3665.19s -> 3666.39s] 18萬
[3666.39s -> 3668.19s] 還有是現在節對比他
[3668.73s -> 3671.71s] 當時他比較不敢罵我
[3671.71s -> 3674.05s] 他就聽到頭封掉
[3674.05s -> 3676.61s] 他說你晚上有空嗎
[3676.61s -> 3677.55s] 我說要幹嘛
[3677.55s -> 3678.93s] 他說你是有空
[3679.67s -> 3681.95s] 你六點吃飽飯
[3681.95s -> 3683.33s] 衣服穿好
[3683.33s -> 3684.75s] 我來在你
[3684.75s -> 3685.71s] 我說要再替哪裡
[3686.29s -> 3688.95s] 他說你不是很喜歡賺錢嗎
[3688.95s -> 3690.23s] 我帶你出氣
[3690.23s -> 3691.71s] 看一個健康講座
[3692.29s -> 3693.71s] 就像晚上這樣子的
[3694.41s -> 3696.15s] 不過我當時氣的是
[3696.15s -> 3698.19s] 事貿的直銷商大會
[3698.19s -> 3698.65s] 我說
[3698.65s -> 3700.67s] 雖然我還有事業
[3700.67s -> 3702.99s] 我說那你真糟糕
[3702.99s -> 3704.51s] 你怎麼又跟我講
[3704.51s -> 3705.67s] 我花掉18萬
[3705.67s -> 3707.13s] 你才跟我講
[3707.13s -> 3708.67s] 因為我那18萬
[3708.67s -> 3711.29s] 我還可以買零隻買一條線
[3711.29s -> 3712.29s] 我吃很久
[3713.01s -> 3715.51s] 我就越想越氣
[3715.51s -> 3717.75s] 我說你這樣子帶我出來
[3717.75s -> 3720.71s] 你一定要幫我做這樣
[3720.71s -> 3721.53s] 賺食
[3721.53s -> 3722.65s] 才有可能
[3722.65s -> 3724.37s] 不過當時我那個老闆
[3724.37s -> 3725.63s] 真的看我不服我
[3725.63s -> 3729.23s] 他不知道我會上賺食人招
[3730.51s -> 3733.95s] 他說我不會提升又不會開車
[3733.95s -> 3737.45s] 當時我在看懂這個事業的時候
[3737.45s -> 3739.23s] 他就一直講說
[3739.23s -> 3740.65s] 你去寫開車
[3740.65s -> 3741.61s] 我說不要
[3741.61s -> 3743.49s] 他說你要不要做
[3743.49s -> 3744.95s] 我說看到還不錯
[3745.89s -> 3748.19s] 那個賺菜錢
[3748.19s -> 3749.63s] 我們家的菜錢也很好
[3750.15s -> 3750.97s] 我說好
[3750.97s -> 3752.41s] 他好你就寫開車
[3752.41s -> 3753.23s] 我說不要
[3753.23s -> 3754.79s] 他說你要做你不寫開車
[3754.79s -> 3756.11s] 我不在你
[3756.11s -> 3756.97s] 他這樣講
[3756.97s -> 3757.45s] 我說好
[3757.45s -> 3759.03s] 你不在我不做
[3759.87s -> 3761.97s] 就這樣子兩個一來一
[3761.97s -> 3765.23s] 我這個人好事業很強
[3765.23s -> 3767.41s] 他這樣跟我講過後的時候
[3767.41s -> 3770.11s] 我偷偷偷氣血開車
[3770.11s -> 3771.93s] 每天當好是屬家
[3771.93s -> 3773.41s] 小孩子在家裡
[3773.41s -> 3775.41s] 我就每天八點就寫
[3775.41s -> 3776.85s] 因為他當時我
